item,count
warnedyour,1
flashier,1
snacklot,1
craftbar,2
abrupt,53
descriptor,7
lotbittersweet,1
vinaigrettemarin,1
buyingNUM,1
clanless,1
spokesmanit,1
serveramaz,1
nonbar,1
offbeera,1
kosta,2
nayti,1
coatsth,1
starssteak,1
starssteam,1
dinersdrivein,1
chafunkta,1
kiddosjust,1
ehwwwwww,1
intertwin,6
rebujito,1
misleadingit,1
pricedlong,1
snowballoon,1
chutneycheddar,1
flit,1
signatureubiquit,1
wowzah,1
breadit,7
wellmargarita,1
jambalayaetouffe,1
starsapp,1
flip,182
b,572
c,526
garland,4
d,11705
deliciouscrispyfluffythick,1
e,600
eitherholi,1
f,193
g,263
h,120
metformin,1
j,123
feulletin,1
shotdrink,1
k,153
l,285
m,23578
n,2027
o,403
p,317
ofan,1
q,107
r,167
s,94837
breadil,1
raviolignocchi,1
t,316
milenium,2
u,706
v,215
noncasino,4
w,2254
x,125
girltwo,1
y,383
z,33
breadic,1
adrian,8
daysnight,2
breadif,2
reservationslong,1
housefri,1
glendon,4
foodnah,1
parmesanal,1
effectivelyident,1
lightgot,1
brandwid,1
veryyyy,2
andbest,1
housemadehomemad,1
¡,7
dishesfrench,1
ownbrew,1
cheesefail,1
NUMrth,1
­,16
®,2
chickenpesto,2
°,2
pizzakeep,1
beforeaft,6
breadoh,1
cheeselox,1
breadok,1
NUMrst,1
busserv,1
onyum,1
barsrestaurantstavern,1
kickbox,1
wowzer,9
chacunchacun,1
offp,1
getcroquettesoctopus,1
bouncerdoor,1
yespizza,1
offy,1
à,19
kimchibaconeggspancak,1
á,3
offf,2
homerunlov,1
rickbayless,2
å,1
offa,3
quarters,4
offb,1
slaweveryth,1
é,2
porkplus,1
quarterw,1
offi,3
î,1
better,15731
parkingclean,1
ñ,1
restaurantport,1
freshground,1
minutesodd,1
yelpcombizphotosybmk…,2
breadmi,1
ofev,1
adriel,1
matzohbal,1
adrien,1
ofif,3
breadth,40
salmonspici,1
sandwichsoup,3
intoreason,1
parkinggood,1
wpasta,1
outstandng,1
goodmediocr,2
flop,41
fanast,7
nonsalad,2
flor,2
flavorfultheir,1
breadto,1
flow,304
hamachitoro,1
dummi,18
timid,22
assuag,7
flog,1
burgerluckili,1
supertoast,1
saltineskick,1
quartinowher,1
helpyou,1
dumpl,2469
brickback,1
mealexperi,3
peller,1
pellet,6
seger,1
dumpr,1
justiceth,1
otoshi,1
shapedcook,1
dumpi,22
readytoparti,1
mnotevenhungri,1
pammi,1
siwtch,1
chivesNUM,1
wantamerica,1
kristen,4
frontour,1
drinkscondi,1
ofit,3
smegma,1
darnright,1
ofmi,2
sandwichandther,1
kuirki,1
crazylong,1
rariti,64
sweetconclusionil,1
brunchtoday,1
housefir,1
lpiberico,1
timea,2
timeb,1
adriana,4
timed,3
baltic,2
timei,7
tacosalthough,1
timej,1
timeg,1
parradillo,1
snaffoo,1
timeh,1
gNUM,3
discretiontrust,1
raaat,1
whaaaaaat,2
crazylook,1
parradilla,1
lowerwindow,1
headinclud,1
borsch,1
showher,1
camotechos,1
ofon,1
yummybut,1
segal,51
muggedandgotfoodpoison,1
alltimefavorit,2
tablesapart,1
timer,151
timet,1
timem,2
uberculinari,1
timey,18
mafiaesqu,1
flux,5
foodmus,1
timew,2
flub,5
bachelor,76
flue,1
fluf,4
crepinett,20
porcini,95
bmade,1
towerahmaz,1
cheeselik,2
tideov,1
pastramirecommend,1
sketch,39
cookswaitstaff,1
snapperhalibut,1
innuendolac,1
NUMpmclosehalfoff,1
gajillion,7
canyumNUM,1
straightlet,1
semisweet,8
huntington,7
paradiseth,4
ofpp,1
irrist,1
hourquick,1
glendal,18
toppingssauc,1
curvebal,2
winequant,1
foeenrag,1
yelpcombizphotosbig…it,1
beerpro,1
rightempanada,1
NUMsih,1
NUMsif,2
quinoaal,1
cylindri,1
yummybak,1
flys,3
NUMsit,2
goodpric,4
clothesit,1
wedgelik,1
kitchen,3030
talapia,6
pierogiesbrais,1
beerpop,2
youanyway,1
perfectlyribey,1
buzzi,6
palso,1
marvin,22
mofro,1
yumstersyou,1
pepperskob,1
fanand,1
cafeteriabut,1
redmond,1
eggport,1
ofur,1
thingsNUM,4
counterservic,6
craftstor,1
minutesnom,1
dunde,1
foodmov,1
friendlybut,1
starsaft,4
minutesnop,1
tagliatellebrittani,1
minutesnow,1
disappointmac,2
scottsdal,8
ipand,1
airconditioninga,1
movingaft,1
saltysavori,3
sketchiest,2
overtout,1
wornsmooth,1
becauz,1
ofth,20
acceptablemediocr,1
tilli,2
latrin,2
NUMsee,2
applesth,3
shnitzelwheich,1
wonderfultast,1
NUMsea,1
ewthey,1
insideget,1
becaus,2
NUMsec,1
goodcocktail,2
frenchamerican,1
portiontend,1
attende,14
tillo,2
kosho,1
crostiniour,1
nycget,3
checkstiff,1
ofwa,1
galorethank,1
alwaysbusi,1
halfsiz,10
crampedconclus,1
arrogantbar,1
apetito,1
tunapotato,1
kristin,14
anotherw,1
convosthi,1
enguera,1
marvel,139
mediumroast,1
bitedrunken,1
comradeship,1
onyep,1
starsacm,1
fishfast,1
anotheri,1
becasu,10
bertino,1
oyamel,1
rebecca,14
shrimpm,1
shrimpi,10
wristbandcheck,1
putyourjacketbackon,1
notsosubtl,1
shrimpa,1
lovercrisp,1
boothtyp,1
vermillion,2
omdelici,1
pancrea,6
momufuku,1
fantasticwatch,1
greasetran,1
greasetrap,1
goodprob,1
underpromisingoverdeliv,1
botherthey,1
brinyfresh,1
mealfalda,1
vodkaish,1
NUMsat,1
goodprop,1
emptywait,1
sientom,1
getservic,1
foodmat,1
starsair,1
tipanyway,2
standwait,1
flamedlick,1
foodmac,1
ipain,1
foodmak,1
soundabsorb,1
NUMsas,1
NUMsam,1
placeswild,1
restaraunt,34
shrimmp,1
yeeeeeaaaaahhhh,1
kosmo,1
bombperfect,1
meicarrot,1
cheesesausag,1
casualbathroom,1
cornucopia,12
topvictoryvictori,1
starsaok,1
verrrrri,7
artific,3
ohsoyummyyouwillwanttodrinkit,1
touchoveral,5
dullcolor,1
absorbour,1
provencal,1
lessbusi,2
goodprkg,1
beeeeeeyotch,1
parmesanif,1
poseur,1
linecoop,1
offputtingdespit,1
okayalthough,1
anyand,1
visitpul,1
inscor,1
starsand,4
morningbut,1
trifecta,32
environmentdefinit,1
yourslunch,1
bmari,1
tribulani,3
tryNUM,2
consistentalway,1
posess,1
foodmeh,1
saucespenicillin,1
frasier,1
shazbot,1
onionspepp,2
jizoint,1
posesi,1
tilti,1
bakedmash,1
ipado,1
sumNUM,1
gloriouswhowould,1
linecook,2
shazam,6
hypenic,1
threadi,1
vodkachop,1
handdryer,1
tastesand,1
peopleblueberri,1
nonpremium,1
gingerbread,15
whitetablecloth,1
tomoato,7
cheesevinaigrett,1
overtook,6
breakfastenjoy,1
waterbesid,1
bythebottl,1
omikazea,1
mealcoffe,1
creamyslight,1
pleaseanyway,1
unstabl,3
counterold,1
flavorfulsinc,1
meappet,1
greatwith,4
splittingeven,1
anticustom,1
tomatillohabanero,2
perfectnear,1
crustless,9
beerrel,2
buyer,23
fulljordan,1
beerrev,1
semihardcor,1
substandard,27
justawesom,1
beasley,1
fancam,1
mindyburg,1
portionservic,2
diappoint,9
tastesbud,1
barsunday,1
deepfor,1
bestfeel,1
elijah,5
journal,5
palat,561
somtum,1
visitout,1
comparrison,1
sweethaaaaat,1
yumwont,1
chaterell,3
artichokegoat,1
minicooki,1
treyf,1
rotisserri,1
balsam,289
balsan,1
borrow,27
tatziki,3
seeth,5
quinoath,1
winetast,1
touralinea,1
oggl,1
keurig,1
goreal,1
trequ,1
meappar,1
appreciatedglaz,1
yummyand,2
hibiscusth,1
tremé,1
seeuh,1
sportsbeer,1
journey,177
therescopingwait,1
palid,1
postfight,1
muggedstabbedspit,1
starambi,3
feetwarm,1
superbdefinit,1
deepfri,83
guyscustom,1
gentlemenlet,1
nondens,1
whatallagash,1
servicetipslarg,1
carlina,3
paler,1
hambaga,1
palet,4
cubandrink,1
loungemayb,1
destress,1
standentr,1
adipos,1
wmelt,2
halfyardbad,1
remembermayb,1
expectedtri,1
paleo,17
galett,6
wchunk,1
deligruff,1
pitcherful,1
oldytimey,1
elderberrypineappleprosecco,1
okmayb,1
fiendish,3
pollacklik,1
actionimpress,1
awayconfisc,1
suzanna,1
palli,1
NUMsso,1
samkyups,1
attempt,710
debrisstyl,1
pluspati,1
gummydessertnon,1
wafflesoveral,1
wazuzu,2
ibericobeen,1
foccacio,4
winetapa,1
palma,4
foccacia,118
foodlot,2
foodlov,8
okmash,1
strawberriesblueberriesbanana,1
favorless,2
deliissshhhhhhh,1
goodfella,6
fastthi,2
headshot,4
palin,2
customerseri,1
comingg,1
woodburn,11
whcich,1
comingc,1
comingl,6
cheaptomak,1
rooftopit,1
lesssatisfi,1
NUMsps,1
serversand,2
NUMson,2
clubloung,4
carefulit,1
butterespresso,1
memorableafterthoughtforgettableafterthought,1
oooooooooohhhhh,1
signfor,1
expectedthi,1
moodbut,1
tilal,1
dessertsserv,1
greateven,5
breadcuban,1
dumplingsdiscret,1
anycas,1
foodlud,1
croissiant,1
tellagio,4
certifiedsist,1
stillrememberexactlywhatittastedlikeNUM­monthslat,1
chilibas,1
optiontheir,1
bahgillion,1
NUMsmi,1
oxtailbi,1
perogiesspici,1
goodsalpicon,1
expectedtip,1
layfayett,1
informationa,1
creamword,1
starminus,1
gribich,1
cinequest,1
meatballsglad,1
beatNUM,1
wrosemari,2
damenmilwauke,2
oversweet,3
foodlik,4
wmeat,1
saidanticip,1
exoticish,1
pineappleham,1
wingstyl,3
dropsth,1
supernova,4
fullband,1
friendlyattent,1
treed,2
lessthan,2
takecharg,1
howreoh,1
terriblepric,1
honorif,1
seeig,1
notsohearthealthi,1
aaaawesomenesssss,1
prytania,1
walllin,1
insidegood,3
tiramasou,1
seein,2
pricepric,1
abacor,2
fanboy,5
creampassionfruit,1
assthi,1
sushiyou,1
namedrop,8
yummylobst,1
dissapointong,1
wflour,1
delightand,1
employeeson,1
musselsfri,1
xanh,4
scallopduck,1
childhood,112
ambianceatmospher,1
yelpcomuserlocalphot…,12
drinkingparti,2
piledhigh,2
gordon,55
serverbartenderbottomlin,1
helpfulour,1
deliveredthey,1
sapora,1
begreat,2
progress,130
tradtion,2
lunchoveral,1
treat,2056
mustnotmiss,1
dumba,1
cheeseman,1
cheesemay,1
sproutsmust,1
cannolilik,1
nycher,1
tread,7
burgersbest,1
curteous,5
bothand,1
NUMtip,7
seedo,1
seedi,47
nychef,1
unauthenticbut,1
lakeecho,3
NUMthe,200
wrooooooong,1
koren,17
tikin,1
sweetschocol,1
korea,54
valuepark,1
NUMths,8
halftim,3
cladhalfnak,1
jampickl,2
seeew,5
yesyoda,1
chiliaft,1
fnal,1
employeesth,1
notkinda,1
tastyNUM,1
auction,8
ultratradit,1
pamela,6
treck,6
uneven,62
ohranj,1
exceptionmaiz,1
sightNUM,1
goodvintagey,1
stillthat,1
tofufriggintast,1
allcevichi,1
infinitesim,3
schoolcash,1
lolmoth,1
okmahi,1
dumbo,2
hereeveryth,1
tikka,5
dumbl,3
trend,164
creamnuff,1
enhancementdessert,1
alchohol,4
drunkinstead,1
preprepar,13
capaccio,1
impervi,2
crustsurpris,1
vastth,2
orangeybourbon,1
tapaspinxtospronounc,1
playoff,39
theroast,1
boozecolor,1
ginmorm,1
wingstop,2
trenn,1
forehead,13
definitionrecip,1
crustedg,1
carbcentr,2
floorour,1
pairingcrispi,1
sandwichsoft,1
soulsatisfi,3
pigblood,1
prejud,1
asparagusmushroom,1
norlean,3
NUMtax,3
chipwhich,1
staralso,1
crispiest,13
yummyaft,1
kickass,51
pynchon,1
homestyletradit,1
chicagocoutur,2
selfdelud,1
pellagrino,1
mugclub,2
escort,141
juuuiiiicyyyyyyyyyyyyyyyyyyyyyyi,1
moderncontemporari,2
milkier,1
agedashi,9
carlito,1
anybod,1
cheesepulpo,1
visitoth,1
foodlet,1
fyifri,1
justdisappoint,1
yourselffood,1
satisfyingkushi,1
rooftopth,2
NUMdammit,1
palac,952
momofukussam,1
jealousappal,1
yummmmmmmmmmmmmmmmmm,1
seemi,1
nondeep,6
potatochocol,1
seemd,2
interrogatori,1
shysterismpiss,1
carolann,1
fanbas,1
askingalso,1
alberginia,1
dowtown,1
seena,1
carnitasgood,1
slicedNUM,2
unwind,31
lettuceonl,1
sojourn,5
boomnot,1
samlucki,1
readytogo,1
seenn,1
gruyèr,8
treke,3
lessthey,1
trekk,47
noncar,1
martyr,2
qualitycost,1
snocker,2
regretlov,1
treme,1
somtim,2
serfect,1
sketti,1
gandalf,3
ohal,1
frederick,1
atchafalaya,2
seedlik,1
ohar,56
occheriett,1
sayeth,2
crustaft,1
parksit,1
hipyoung,1
graciousif,1
morefirst,1
temporari,22
dipfri,1
yelpcombizphotoscfwi…pastrami,1
zimmerman,6
kitchengril,1
hermit,1
aaesom,1
rossioto,1
muchador,1
wafflesfrench,1
fornicatorthat,1
tryingtohard,1
NUMsalad,2
staunch,2
flirt,59
tokyostyl,1
notsolight,1
topolabompo,1
semifast,1
giordanosor,1
meatnthre,1
quarterback,2
britannica,1
servicewa,4
anotherpesto,1
wikipedia,22
beersel,2
qualitywis,4
wowwowtwo,1
toppingbread,1
oher,1
tristamint,1
flipr,1
mutherfck,1
packedlov,1
mouthhorchata,1
roofbar,1
thenspici,1
droolsandwich,1
ohio,37
fling,12
bouncersbartendersoveral,1
selfmand,1
arigato,5
latour,1
passthrough,1
nondin,2
crackersnut,1
nondip,1
beerservic,1
balltomato,1
NUMppl,9
NUMppm,1
exoticher,1
ohhh,67
flint,1
slideshow,1
deservedaft,1
NUMpop,1
thoughkitchen,1
burgersbeef,1
nighthawk,2
dessertbread,3
treatlamb,1
blllaaaaannd,1
beersid,1
beersif,1
forrizzl,1
judgmentfor,1
advocanaiss,1
toppingfre,1
dalibtw,1
berkeley,36
betray,13
nonwaistlin,1
oysterslet,1
dressingcoop,1
ohmi,12
perbacco,2
minutesloc,1
itemsgood,1
veryth,1
girlwel,1
NUMpmi,1
sushiyup,1
mustardsstuf,1
ohmm,1
deglorifi,1
trief,1
deepest,7
combinational,2
peppersal,2
outbreak,4
herman,1
veagan,1
peppersan,1
minuteslou,1
diavologiacomo,1
fancya,1
giamcomo,1
firstbeeh,1
koval,6
trifl,12
appetizz,1
ninjalik,3
workthi,1
choss,1
mmmmbuttermak,1
compellingth,1
gulletnot,1
NUMpma,1
seventh,6
seventi,4
saucegravi,2
fillingtbh,1
premis,52
foodout,1
ohoh,2
buteven,2
giodarno,1
croquetasjust,1
premix,14
semifunni,1
bellymi,1
styrofoamlik,1
hmshould,1
peachmi,1
talkingempanada,1
bluegreenr,1
foodour,2
ricottaour,1
fancyp,9
waaaaayyy,2
choux,9
yangmarin,1
combinationat,1
butterut,1
birdbal,1
bostongreat,1
skinnier,6
oysterslin,1
manheur,1
beersne,1
strongest,33
crustand,4
rollsbrais,1
serranomarin,6
flier,4
fliet,2
butterth,9
frockl,1
chopt,1
boozeinfus,1
waffleinterest,1
trial,23
meatybeefi,1
moith,1
rosehip,1
bkftlot,1
triad,1
gastronomi,105
benenden,1
moist,1425
parsleyrosemari,1
looksound,1
anglic,2
surewould,1
moish,1
choos,249
butterso,2
hotpolish,1
seafoodlobst,2
halfpip,9
racer,6
tribe,9
wrongmayb,1
beersth,12
waitressalso,1
peppersdo,1
tropez,1
premoth,1
beersto,1
breakast,3
ohso,16
pmstart,1
mehsoci,1
martha,23
choro,2
trict,1
serversbus,1
sandwichsmok,1
insidegril,1
trick,256
serviceattitud,1
hukilau,2
bib­upd,1
hmmstaff,1
kitchenwar,1
renovatedexpand,1
chose,1173
flick,26
douchey,29
explainther,1
appetito,2
veryyi,6
bringchicago,1
appetitt,1
appetitz,2
laterflavor,1
martin,40
chord,6
chore,22
premovi,3
artificialtast,1
chompcatfish,1
appetiti,1
seafoodjad,1
showerc,1
NUMandkhao,1
americaninfluenc,1
passoverhanukkah,1
downsidetheir,1
cilantroit,1
rabit,1
orangishbrown,1
fancov,1
roomev,1
fancon,1
rabid,7
hoursat,1
cubsdodg,1
rabia,5
ohto,1
encompass,19
carrozza,2
drippyawesom,1
corntini,1
needneedless,1
provolenta,2
wisepastrami,1
ohth,4
tacosdecentmol,1
vibef,1
tinto,11
potatoesbbq,1
brackish,1
aromat,80
hoursdo,1
receivedlook,1
defintitley,1
vibem,1
noncub,1
minuteslik,1
insans,1
trophi,9
okchicago,1
noncut,1
nightshift,1
sashimisalmon,1
tropic,56
contentlast,1
foodomg,1
trendyhaircut,1
dogavocado,1
yourselfNUM,4
chowderclam,1
über,5
sheeshgot,1
martel,4
microban,1
marten,1
embellish,22
microbar,2
pepperrub,1
baddass,2
roomdo,1
tinni,4
quesada,1
foah,1
porteralso,1
foam,205
fingerscocktail,1
cgrill,1
sisterbesid,1
chiefbut,1
ohsomuchofeveryth,1
leavesbecom,1
roomat,5
insati,10
fatterfood,1
roomal,1
tequilaNUM,1
awwwwwsom,1
conventiongo,3
bundessert,1
foodord,1
daystim,1
insomniac,2
newplac,1
chicagolunch,1
foodori,1
necessarywork,1
omgoshnesssss,1
recreat,103
anglai,5
gaucho,1
clearuncook,1
favorti,3
panzo,1
amazingyou,4
appetizersatmospher,1
obsessedsauté,1
panze,1
kould,1
righttheir,1
tenderpatata,1
protion,4
afterwardcom,1
pizzatast,2
mouthanyway,1
delightperhap,1
plateveri,1
NUMhNUMm,2
wingback,1
panza,186
funkycrazi,1
decorexperi,1
dupio,1
dissapointnow,1
topoblamo,2
dumbfound,22
lightcream,1
mostacolli,1
favorso,1
bolivia,3
cherubmerbabi,1
fedora,6
selfaggrand,1
apalousa,1
inventoryani,1
flippant,8
bravasther,1
fanfirst,1
ofbut,3
unregrett,1
wheeeww,1
cilantroal,1
patioparkinglot,1
collegau,1
foei,1
topnotchand,1
herlov,1
shawti,3
cannoliomg,1
juicesugar,1
minutecraftsteak,1
carefulth,1
nonbrand,1
fogo,6
fabulousthough,1
midseason,1
duper,63
casper,1
sagria,1
nobuesqu,1
NUMbrais,2
realwheatb,1
enteman,1
twentysixth,1
alriiiight,1
kitchenwoo,1
beerflavor,1
chefscook,1
roommi,1
foir,5
westwood,26
hourrud,1
elementari,35
kours,1
pizzettebutternut,1
specialgril,2
owuld,1
cilantroey,1
foid,1
foie,836
usdrink,1
collegey,1
mostarada,1
stuuufff,1
foil,109
tomatoalso,1
roomit,1
craftsteakdaili,1
hhhhhuuuugggeee,1
goingo,1
thoroughbr,1
puddingbest,1
goingw,1
maaadd,1
vibew,1
restaurantespeci,1
vibey,2
selectioncheap,1
heavyNUM,1
tastetheir,2
wilford,1
everthumb,1
vakseenNUMtast,2
presentedlov,1
diningincom,4
dupar,4
kitchenplus,1
grossanoth,2
monstrosoti,1
goingz,1
paoch,1
dupag,3
burritobulgogi,1
visitnow,2
bustlingso,1
steakdagwood,1
oxtailth,2
smoquebbqcommanifesto,1
microbew,1
